mode,route,name ,longitude,latitude,duration,time,durationsec
publictransport,1,metro,77.62405744,12.97419772,15,37,2220
publictransport,1,metro,77.62567532,12.97520409,15,37,2220
publictransport,1,metro,77.62630644,12.97584998,15,37,2220
publictransport,1,metro,77.62679111,12.97658761,15,37,2220
publictransport,1,metro,77.62774331,12.97774537,15,37,2220
publictransport,1,metro,77.62905261,12.97844129,15,37,2220
publictransport,1,metro,77.63147283,12.97824798,15,37,2220
publictransport,1,metro,77.63272565,12.97812916,15,37,2220
publictransport,1,metro,77.63448643,12.97815071,15,37,2220
publictransport,1,metro,77.63703098,12.97823714,15,37,2220
publictransport,1,metro,77.63823465,12.97825648,15,37,2220
publictransport,1,metro,77.63882421,12.97828319,15,37,2220
publictransport,1,walk,77.63884788,12.97827599,6,37,2220
publictransport,1,walk,77.63890614,12.97828115,6,37,2220
publictransport,1,walk,77.63879492,12.98069635,6,37,2220
publictransport,1,walk,77.63871048,12.98228583,6,37,2220
publictransport,1,walk,77.63966905,12.98234259,6,37,2220
publictransport,1,walk,77.63963198,12.98260062,6,37,2220
driving,2,driving,77.54868734,13.02490128,80,80,4800
driving,2,driving,77.54843464,13.02503945,80,80,4800
driving,2,driving,77.54836244,13.02502689,80,80,4800
driving,2,driving,77.54820257,13.0247631,80,80,4800
driving,2,driving,77.54801434,13.02445661,80,80,4800
driving,2,driving,77.54915407,13.02379589,80,80,4800
driving,2,driving,77.55028654,13.02314664,80,80,4800
driving,2,driving,77.55131199,13.02250664,80,80,4800
driving,2,driving,77.55165143,13.0222026,80,80,4800
driving,2,driving,77.55231043,13.02111968,80,80,4800
driving,2,driving,77.55289624,13.02001019,80,80,4800
driving,2,driving,77.55344372,13.01875998,80,80,4800
driving,2,driving,77.55378626,13.01800497,80,80,4800
driving,2,driving,77.55416959,13.01652418,80,80,4800
driving,2,driving,77.55437149,13.01575523,80,80,4800
driving,2,driving,77.55454891,13.01548103,80,80,4800
driving,2,driving,77.55494047,13.01549891,80,80,4800
driving,2,driving,77.55557675,13.01572543,80,80,4800
driving,2,driving,77.5559479,13.01599445,80,80,4800
driving,2,driving,77.5565953,13.01688818,80,80,4800
driving,2,driving,77.55709865,13.01776431,80,80,4800
driving,2,driving,77.55758825,13.0186186,80,80,4800
driving,2,driving,77.55791761,13.01872268,80,80,4800
driving,2,driving,77.55955083,13.0177751,80,80,4800
driving,2,driving,77.56121443,13.01674926,80,80,4800
driving,2,driving,77.56270271,13.01589159,80,80,4800
driving,2,driving,77.56492064,13.01458853,80,80,4800
driving,2,driving,77.56587642,13.01404359,80,80,4800
driving,2,driving,77.5665735,13.01361967,80,80,4800
driving,2,driving,77.56742028,13.01309548,80,80,4800
driving,2,driving,77.56787408,13.01282199,80,80,4800
driving,2,driving,77.56881886,13.0122806,80,80,4800
driving,2,driving,77.56896857,13.01221223,80,80,4800
driving,2,driving,77.56912296,13.012194,80,80,4800
driving,2,driving,77.56919781,13.01212107,80,80,4800
driving,2,driving,77.56923991,13.01198888,80,80,4800
driving,2,driving,77.56958619,13.01153024,80,80,4800
driving,2,driving,77.57020729,13.0106742,80,80,4800
driving,2,driving,77.5708588,13.00984808,80,80,4800
driving,2,driving,77.57120968,13.00939226,80,80,4800
driving,2,driving,77.57148672,13.00889399,80,80,4800
driving,2,driving,77.57161303,13.00860681,80,80,4800
driving,2,driving,77.57163175,13.00850653,80,80,4800
driving,2,driving,77.57196114,13.00831555,80,80,4800
driving,2,driving,77.5726129,13.00792454,80,80,4800
driving,2,driving,77.57312964,13.00775212,80,80,4800
driving,2,driving,77.57386866,13.00766411,80,80,4800
driving,2,driving,77.57429154,13.00770811,80,80,4800
driving,2,driving,77.57503878,13.00777212,80,80,4800
driving,2,driving,77.57556612,13.00783479,80,80,4800
driving,2,driving,77.5758371,13.00784679,80,80,4800
driving,2,driving,77.57632567,13.00775078,80,80,4800
driving,2,driving,77.57676087,13.00750676,80,80,4800
driving,2,driving,77.57866277,13.00654492,80,80,4800
